Customer_ID,Age,Gender,Location,Browsing_History,Purchase_History,Customer_Segment,Avg_Order_Value,Holiday,Season,Unnamed: 10
C1000,28,F,Chennai,"['Books', 'Fashion']","['Biography', 'Jeans']",New Visitor,4806.99,No,Winter,0.0
C1001,27,M,Delhi,"['Books', 'Fitness', 'Fashion']","['Biography', 'Resistance Bands', 'T-shirt']",Occasional Shopper,795.03,Yes,Autumn,0.0
C1002,34,,Chennai,['Electronics'],['Smartphone'],Occasional Shopper,1742.45,Yes,Summer,0.0
C1003,23,M,Bangalore,['Home Decor'],['Wall Art'],Frequent Buyer,2023.16,No,Autumn,0.0
C1004,24,,Kolkata,"['Fashion', 'Home Decor']","['Shoes', 'Lamp']",Frequent Buyer,794.76,No,Winter,0.0
C1005,22,,Bangalore,['Home Decor'],['Curtains'],Frequent Buyer,2504.65,No,Winter,0.0
C1006,30,M,Kolkata,['Home Decor'],['Cushions'],New Visitor,2171.58,No,Autumn,0.0
C1007,38,F,Delhi,['Home Decor'],['Wall Art'],Frequent Buyer,1188.17,Yes,Summer,0.0
C1008,52,M,Kolkata,['Home Decor'],['Lamp'],New Visitor,3104.72,Yes,Autumn,0.0
C1009,21,M,Kolkata,['Fitness'],['Resistance Bands'],Occasional Shopper,4551.92,Yes,Summer,0.0
C1010,42,F,Kolkata,"['Books', 'Electronics', 'Fitness']","['Biography', 'Smartphone', 'Yoga Mat']",Frequent Buyer,1220.67,No,Autumn,0.0
C1011,36,,Bangalore,['Fitness'],['Yoga Mat'],Occasional Shopper,584.82,No,Spring,0.0
C1012,34,M,Kolkata,"['Electronics', 'Books', 'Fitness']","['Headphones', 'Fiction', 'Yoga Mat']",Frequent Buyer,4418.81,No,Winter,0.0
C1013,55,M,Chennai,"['Books', 'Fashion']","['Non-fiction', 'Shoes']",Frequent Buyer,2592.63,Yes,Autumn,0.0
C1014,40,,Bangalore,"['Fitness', 'Electronics']","['Resistance Bands', 'Smartphone']",Frequent Buyer,3415.33,Yes,Summer,0.0
C1015,54,,Mumbai,"['Home Decor', 'Beauty', 'Electronics']","['Curtains', 'Foundation', 'Headphones']",Frequent Buyer,698.1,No,Summer,0.0
C1016,41,,Kolkata,['Fashion'],['T-shirt'],Frequent Buyer,1669.59,Yes,Summer,0.0
C1017,44,M,Delhi,"['Fitness', 'Home Decor']","['Resistance Bands', 'Lamp']",Occasional Shopper,4399.61,Yes,Summer,0.0
C1018,22,F,Mumbai,"['Electronics', 'Fashion']","['Laptop', 'Shoes']",New Visitor,3237.5,No,Autumn,0.0
C1019,40,F,Delhi,"['Books', 'Home Decor']","['Biography', 'Wall Art']",New Visitor,3299.23,No,Winter,0.0
C1020,52,F,Delhi,"['Electronics', 'Fashion', 'Beauty']","['Laptop', 'Jeans', 'Moisturizer']",New Visitor,4987.0,Yes,Winter,0.0
C1021,41,F,Delhi,"['Electronics', 'Books', 'Beauty']","['Headphones', 'Fiction', 'Moisturizer']",Occasional Shopper,4724.02,Yes,Spring,0.0
C1022,40,M,Mumbai,['Home Decor'],['Wall Art'],New Visitor,3169.44,No,Summer,0.0
C1023,36,M,Delhi,"['Fitness', 'Books']","['Resistance Bands', 'Comics']",Occasional Shopper,3842.19,No,Spring,0.0
C1024,19,,Bangalore,"['Books', 'Fitness']","['Biography', 'Dumbbells']",Frequent Buyer,1586.33,Yes,Winter,0.0
C1025,45,,Delhi,"['Books', 'Fitness']","['Comics', 'Yoga Mat']",Frequent Buyer,1839.54,Yes,Spring,0.0
C1026,20,M,Chennai,"['Books', 'Home Decor']","['Biography', 'Curtains']",Frequent Buyer,3861.96,Yes,Winter,0.0
C1027,52,,Mumbai,"['Books', 'Electronics', 'Fitness']","['Non-fiction', 'Headphones', 'Yoga Mat']",Frequent Buyer,1073.47,Yes,Autumn,0.0
C1028,52,,Bangalore,"['Electronics', 'Fashion']","['Smartwatch', 'Jeans']",Frequent Buyer,3766.58,No,Summer,0.0
C1029,54,F,Chennai,"['Books', 'Fashion']","['Fiction', 'Shoes']",Occasional Shopper,1855.09,Yes,Spring,0.0
C1030,35,,Kolkata,"['Beauty', 'Books', 'Fashion']","['Perfume', 'Non-fiction', 'Jacket']",New Visitor,1090.75,No,Winter,0.0
C1031,36,F,Kolkata,['Fashion'],['T-shirt'],Frequent Buyer,2671.88,No,Winter,0.0
C1032,28,F,Mumbai,"['Home Decor', 'Books', 'Fashion']","['Curtains', 'Comics', 'Shoes']",Occasional Shopper,2850.56,No,Spring,0.0
